coder_id,manifesto,unit_id,sequence,code
luigi.curini,GB,GB-011,11,305
luigi.curini,GB,GB-012,12,305
luigi.curini,GB,GB-013,13,606
luigi.curini,GB,GB-014,14,601
luigi.curini,GB,GB-015,15,605
luigi.curini,GB,GB-016,16,606
luigi.curini,GB,GB-017,17,606
luigi.curini,GB,GB-018,18,606
luigi.curini,GB,GB-019,19,305
luigi.curini,GB,GB-020,20,305
luigi.curini,GB,GB-021,21,607
luigi.curini,GB,GB-022,22,202
luigi.curini,GB,GB-023,23,303
luigi.curini,GB,GB-024,24,303
luigi.curini,GB,GB-025,25,408
luigi.curini,GB,GB-026,26,408
luigi.curini,GB,GB-027,27,503
luigi.curini,GB,GB-028,28,706
luigi.curini,GB,GB-029,29,410
luigi.curini,GB,GB-030,30,410
luigi.curini,GB,GB-031,31,606
luigi.curini,GB,GB-032,32,605
luigi.curini,GB,GB-033,33,410
luigi.curini,GB,GB-034,34,305
luigi.curini,GB,GB-035,35,408
luigi.curini,GB,GB-036,36,408
luigi.curini,GB,GB-037,37,305
luigi.curini,GB,GB-038,38,409
luigi.curini,GB,GB-039,39,504
luigi.curini,GB,GB-040,40,305
luigi.curini,GB,GB-041,41,305
luigi.curini,GB,GB-042,42,409
luigi.curini,GB,GB-043,43,412
luigi.curini,GB,GB-044,44,504
luigi.curini,GB,GB-045,45,305
luigi.curini,GB,GB-046,46,606
luigi.curini,GB,GB-047,47,606
luigi.curini,GB,GB-048,48,305
luigi.curini,GB,GB-049,49,202
luigi.curini,GB,GB-050,50,706
luigi.curini,GB,GB-051,51,606
luigi.curini,GB,GB-052,52,606
luigi.curini,GB,GB-053,53,606
luigi.curini,GB,GB-054,54,606
luigi.curini,GB,GB-055,55,606
luigi.curini,GB,GB-056,56,411
luigi.curini,GB,GB-057,57,506
luigi.curini,GB,GB-058,58,403
luigi.curini,GB,GB-059,59,202
luigi.curini,GB,GB-060,60,606
luigi.curini,GB,GB-061,61,202
luigi.curini,GB,GB-062,62,202
luigi.curini,GB,GB-063,63,202
luigi.curini,GB,GB-064,64,202
luigi.curini,GB,GB-065,65,202
luigi.curini,GB,GB-066,66,202
luigi.curini,GB,GB-067,67,701
luigi.curini,GB,GB-068,68,202
luigi.curini,GB,GB-069,69,202
luigi.curini,GB,GB-070,70,202
luigi.curini,GB,GB-071,71,402
luigi.curini,GB,GB-072,72,402
luigi.curini,GB,GB-073,73,402
luigi.curini,GB,GB-074,74,411
luigi.curini,GB,GB-075,75,411
luigi.curini,GB,GB-076,76,409
luigi.curini,GB,GB-077,77,409
luigi.curini,GB,GB-078,78,402
luigi.curini,GB,GB-079,79,403
luigi.curini,GB,GB-080,80,303
luigi.curini,GB,GB-081,81,403
luigi.curini,GB,GB-082,82,402
luigi.curini,GB,GB-083,83,402
luigi.curini,GB,GB-084,84,402
luigi.curini,GB,GB-085,85,402
luigi.curini,GB,GB-086,86,402
luigi.curini,GB,GB-087,87,403
luigi.curini,GB,GB-088,88,303
luigi.curini,GB,GB-089,89,303
luigi.curini,GB,GB-090,90,403
luigi.curini,GB,GB-091,91,402
luigi.curini,GB,GB-092,92,703
luigi.curini,GB,GB-093,93,703
luigi.curini,GB,GB-094,94,703
luigi.curini,GB,GB-095,95,703
luigi.curini,GB,GB-096,96,402
luigi.curini,GB,GB-097,97,703
luigi.curini,GB,GB-098,98,703
luigi.curini,GB,GB-099,99,412
luigi.curini,GB,GB-100,100,503
luigi.curini,GB,GB-101,101,411
luigi.curini,GB,GB-102,102,506
luigi.curini,GB,GB-103,103,411
luigi.curini,GB,GB-104,104,506
luigi.curini,GB,GB-105,105,411
luigi.curini,GB,GB-106,106,411
luigi.curini,GB,GB-107,107,411
sudulicm,GB,GB-001,1,000
sudulicm,GB,GB-002,2,000
sudulicm,GB,GB-003,3,202
sudulicm,GB,GB-004,4,000
sudulicm,GB,GB-005,5,202
sudulicm,GB,GB-006,6,202
sudulicm,GB,GB-007,7,000
sudulicm,GB,GB-008,8,000
sudulicm,GB,GB-009,9,000
sudulicm,GB,GB-010,10,000
sudulicm,GB,GB-011,11,000
sudulicm,GB,GB-012,12,000
sudulicm,GB,GB-013,13,606
sudulicm,GB,GB-014,14,000
sudulicm,GB,GB-015,15,605
sudulicm,GB,GB-016,16,000
sudulicm,GB,GB-017,17,606
sudulicm,GB,GB-018,18,000
sudulicm,GB,GB-019,19,202
sudulicm,GB,GB-020,20,202
sudulicm,GB,GB-021,21,606
sudulicm,GB,GB-022,22,202
sudulicm,GB,GB-023,23,409
sudulicm,GB,GB-024,24,409
sudulicm,GB,GB-025,25,408
sudulicm,GB,GB-026,26,000
sudulicm,GB,GB-027,27,000
sudulicm,GB,GB-028,28,000
sudulicm,GB,GB-029,29,000
sudulicm,GB,GB-030,30,000
sudulicm,GB,GB-031,31,000
sudulicm,GB,GB-032,32,000
sudulicm,GB,GB-033,33,000
sudulicm,GB,GB-034,34,000
sudulicm,GB,GB-035,35,408
sudulicm,GB,GB-036,36,000
sudulicm,GB,GB-037,37,000
sudulicm,GB,GB-038,38,408
sudulicm,GB,GB-039,39,504
sudulicm,GB,GB-040,40,000
sudulicm,GB,GB-041,41,000
sudulicm,GB,GB-042,42,408
sudulicm,GB,GB-043,43,408
sudulicm,GB,GB-044,44,408
sudulicm,GB,GB-045,45,407
sudulicm,GB,GB-046,46,000
sudulicm,GB,GB-047,47,702
sudulicm,GB,GB-048,48,304
sudulicm,GB,GB-049,49,702
sudulicm,GB,GB-050,50,701
sudulicm,GB,GB-051,51,702
sudulicm,GB,GB-052,52,606
sudulicm,GB,GB-053,53,606
sudulicm,GB,GB-054,54,606
sudulicm,GB,GB-055,55,405
sudulicm,GB,GB-056,56,411
sudulicm,GB,GB-057,57,506
sudulicm,GB,GB-058,58,701
sudulicm,GB,GB-059,59,701
sudulicm,GB,GB-060,60,702
sudulicm,GB,GB-061,61,405
sudulicm,GB,GB-062,62,405
sudulicm,GB,GB-063,63,701
sudulicm,GB,GB-064,64,000
sudulicm,GB,GB-065,65,405
sudulicm,GB,GB-066,66,701
sudulicm,GB,GB-067,67,701
sudulicm,GB,GB-068,68,701
sudulicm,GB,GB-069,69,405
sudulicm,GB,GB-070,70,701
sudulicm,GB,GB-071,71,401
sudulicm,GB,GB-072,72,403
sudulicm,GB,GB-073,73,401
sudulicm,GB,GB-074,74,411
sudulicm,GB,GB-075,75,411
sudulicm,GB,GB-076,76,411
sudulicm,GB,GB-077,77,411
sudulicm,GB,GB-078,78,403
sudulicm,GB,GB-079,79,403
sudulicm,GB,GB-080,80,403
sudulicm,GB,GB-081,81,403
sudulicm,GB,GB-082,82,402
sudulicm,GB,GB-083,83,402
sudulicm,GB,GB-084,84,402
sudulicm,GB,GB-085,85,402
sudulicm,GB,GB-086,86,402
sudulicm,GB,GB-087,87,402
sudulicm,GB,GB-088,88,403
sudulicm,GB,GB-089,89,404
sudulicm,GB,GB-090,90,404
sudulicm,GB,GB-091,91,404
sudulicm,GB,GB-092,92,703
sudulicm,GB,GB-093,93,703
sudulicm,GB,GB-094,94,703
sudulicm,GB,GB-095,95,408
sudulicm,GB,GB-096,96,703
sudulicm,GB,GB-097,97,408
sudulicm,GB,GB-098,98,408
sudulicm,GB,GB-099,99,506
sudulicm,GB,GB-100,100,506
sudulicm,GB,GB-101,101,000
sudulicm,GB,GB-102,102,506
sudulicm,GB,GB-103,103,506
sudulicm,GB,GB-104,104,504
sudulicm,GB,GB-105,105,000
sudulicm,GB,GB-106,106,506
sudulicm,GB,GB-107,107,506
costellr,GB,GB-001,1,000
costellr,GB,GB-002,2,000
costellr,GB,GB-003,3,403
costellr,GB,GB-004,4,606
costellr,GB,GB-005,5,606
costellr,GB,GB-006,6,606
costellr,GB,GB-007,7,410
costellr,GB,GB-008,8,410
costellr,GB,GB-009,9,701
costellr,GB,GB-010,10,701
costellr,GB,GB-011,11,401
costellr,GB,GB-012,12,403
costellr,GB,GB-013,13,403
costellr,GB,GB-014,14,606
costellr,GB,GB-015,15,606
costellr,GB,GB-016,16,504
costellr,GB,GB-017,17,606
costellr,GB,GB-018,18,606
costellr,GB,GB-019,19,606
costellr,GB,GB-020,20,606
costellr,GB,GB-021,21,606
costellr,GB,GB-022,22,606
costellr,GB,GB-023,23,404
costellr,GB,GB-024,24,404
costellr,GB,GB-025,25,701
costellr,GB,GB-026,26,701
costellr,GB,GB-027,27,701
costellr,GB,GB-028,28,701
costellr,GB,GB-029,29,408
costellr,GB,GB-030,30,410
costellr,GB,GB-031,31,606
costellr,GB,GB-032,32,606
costellr,GB,GB-033,33,402
costellr,GB,GB-034,34,402
costellr,GB,GB-035,35,408
costellr,GB,GB-036,36,408
costellr,GB,GB-037,37,408
costellr,GB,GB-038,38,404
costellr,GB,GB-039,39,504
costellr,GB,GB-040,40,000
costellr,GB,GB-041,41,404
costellr,GB,GB-042,42,402
costellr,GB,GB-043,43,404
costellr,GB,GB-044,44,404
costellr,GB,GB-045,45,407
costellr,GB,GB-046,46,000
costellr,GB,GB-047,47,606
costellr,GB,GB-048,48,606
costellr,GB,GB-049,49,405
costellr,GB,GB-050,50,405
costellr,GB,GB-051,51,606
costellr,GB,GB-052,52,606
costellr,GB,GB-053,53,606
costellr,GB,GB-054,54,606
costellr,GB,GB-055,55,606
costellr,GB,GB-056,56,411
costellr,GB,GB-057,57,411
costellr,GB,GB-058,58,401
costellr,GB,GB-059,59,405
costellr,GB,GB-060,60,405
costellr,GB,GB-061,61,405
costellr,GB,GB-062,62,701
costellr,GB,GB-063,63,701
costellr,GB,GB-064,64,701
costellr,GB,GB-065,65,701
costellr,GB,GB-066,66,402
costellr,GB,GB-067,67,701
costellr,GB,GB-068,68,701
costellr,GB,GB-069,69,701
costellr,GB,GB-070,70,701
costellr,GB,GB-071,71,402
costellr,GB,GB-072,72,402
costellr,GB,GB-073,73,402
costellr,GB,GB-074,74,411
costellr,GB,GB-075,75,411
costellr,GB,GB-076,76,402
costellr,GB,GB-077,77,411
costellr,GB,GB-078,78,402
costellr,GB,GB-079,79,403
costellr,GB,GB-080,80,403
costellr,GB,GB-081,81,403
costellr,GB,GB-082,82,402
costellr,GB,GB-083,83,402
costellr,GB,GB-084,84,402
costellr,GB,GB-085,85,402
costellr,GB,GB-086,86,402
costellr,GB,GB-087,87,402
costellr,GB,GB-088,88,403
costellr,GB,GB-089,89,403
costellr,GB,GB-090,90,403
costellr,GB,GB-091,91,403
costellr,GB,GB-092,92,703
costellr,GB,GB-093,93,703
costellr,GB,GB-094,94,703
costellr,GB,GB-095,95,703
costellr,GB,GB-096,96,703
costellr,GB,GB-097,97,703
costellr,GB,GB-098,98,703
costellr,GB,GB-099,99,411
costellr,GB,GB-100,100,411
costellr,GB,GB-101,101,506
costellr,GB,GB-102,102,506
costellr,GB,GB-103,103,411
costellr,GB,GB-104,104,506
costellr,GB,GB-105,105,506
costellr,GB,GB-106,106,506
costellr,GB,GB-107,107,506
olgagyarfasova,GB,GB-001,1,305
olgagyarfasova,GB,GB-002,2,000
olgagyarfasova,GB,GB-003,3,405
olgagyarfasova,GB,GB-004,4,305
olgagyarfasova,GB,GB-005,5,303
olgagyarfasova,GB,GB-006,6,305
olgagyarfasova,GB,GB-007,7,000
olgagyarfasova,GB,GB-008,8,410
olgagyarfasova,GB,GB-009,9,702
olgagyarfasova,GB,GB-010,10,410
olgagyarfasova,GB,GB-011,11,402
olgagyarfasova,GB,GB-012,12,404
olgagyarfasova,GB,GB-013,13,408
olgagyarfasova,GB,GB-014,14,407
olgagyarfasova,GB,GB-015,15,702
olgagyarfasova,GB,GB-016,16,407
olgagyarfasova,GB,GB-017,17,402
olgagyarfasova,GB,GB-018,18,402
olgagyarfasova,GB,GB-019,19,305
olgagyarfasova,GB,GB-020,20,305
olgagyarfasova,GB,GB-021,21,606
olgagyarfasova,GB,GB-022,22,305
olgagyarfasova,GB,GB-023,23,402
olgagyarfasova,GB,GB-024,24,402
olgagyarfasova,GB,GB-025,25,404
olgagyarfasova,GB,GB-026,26,408
olgagyarfasova,GB,GB-027,27,408
olgagyarfasova,GB,GB-028,28,408
olgagyarfasova,GB,GB-029,29,408
olgagyarfasova,GB,GB-030,30,408
olgagyarfasova,GB,GB-031,31,606
olgagyarfasova,GB,GB-032,32,606
olgagyarfasova,GB,GB-033,33,407
olgagyarfasova,GB,GB-034,34,407
olgagyarfasova,GB,GB-035,35,408
olgagyarfasova,GB,GB-036,36,408
olgagyarfasova,GB,GB-037,37,000
olgagyarfasova,GB,GB-038,38,408
olgagyarfasova,GB,GB-039,39,408
olgagyarfasova,GB,GB-040,40,305
olgagyarfasova,GB,GB-041,41,408
olgagyarfasova,GB,GB-042,42,408
olgagyarfasova,GB,GB-043,43,408
olgagyarfasova,GB,GB-044,44,408
olgagyarfasova,GB,GB-045,45,407
olgagyarfasova,GB,GB-046,46,000
olgagyarfasova,GB,GB-047,47,000
olgagyarfasova,GB,GB-048,48,407
olgagyarfasova,GB,GB-049,49,702
olgagyarfasova,GB,GB-050,50,000
olgagyarfasova,GB,GB-051,51,408
olgagyarfasova,GB,GB-052,52,606
olgagyarfasova,GB,GB-053,53,606
olgagyarfasova,GB,GB-054,54,606
olgagyarfasova,GB,GB-055,55,606
olgagyarfasova,GB,GB-056,56,411
olgagyarfasova,GB,GB-057,57,506
olgagyarfasova,GB,GB-058,58,408
olgagyarfasova,GB,GB-059,59,408
olgagyarfasova,GB,GB-060,60,405
olgagyarfasova,GB,GB-061,61,405
olgagyarfasova,GB,GB-062,62,405
olgagyarfasova,GB,GB-063,63,405
olgagyarfasova,GB,GB-064,64,408
olgagyarfasova,GB,GB-065,65,701
olgagyarfasova,GB,GB-066,66,701
olgagyarfasova,GB,GB-067,67,701
olgagyarfasova,GB,GB-068,68,408
olgagyarfasova,GB,GB-069,69,405
olgagyarfasova,GB,GB-070,70,405
olgagyarfasova,GB,GB-071,71,408
olgagyarfasova,GB,GB-072,72,411
olgagyarfasova,GB,GB-073,73,411
olgagyarfasova,GB,GB-074,74,411
olgagyarfasova,GB,GB-075,75,411
olgagyarfasova,GB,GB-076,76,411
olgagyarfasova,GB,GB-077,77,411
olgagyarfasova,GB,GB-078,78,411
olgagyarfasova,GB,GB-079,79,408
olgagyarfasova,GB,GB-080,80,408
olgagyarfasova,GB,GB-081,81,408
olgagyarfasova,GB,GB-082,82,408
olgagyarfasova,GB,GB-083,83,402
olgagyarfasova,GB,GB-084,84,402
olgagyarfasova,GB,GB-085,85,402
olgagyarfasova,GB,GB-086,86,402
olgagyarfasova,GB,GB-087,87,402
olgagyarfasova,GB,GB-088,88,404
olgagyarfasova,GB,GB-089,89,404
olgagyarfasova,GB,GB-090,90,404
olgagyarfasova,GB,GB-091,91,404
olgagyarfasova,GB,GB-092,92,703
olgagyarfasova,GB,GB-093,93,703
olgagyarfasova,GB,GB-094,94,703
olgagyarfasova,GB,GB-095,95,703
olgagyarfasova,GB,GB-096,96,703
olgagyarfasova,GB,GB-097,97,703
olgagyarfasova,GB,GB-098,98,703
olgagyarfasova,GB,GB-099,99,411
olgagyarfasova,GB,GB-100,100,506
olgagyarfasova,GB,GB-101,101,000
olgagyarfasova,GB,GB-102,102,506
olgagyarfasova,GB,GB-103,103,506
olgagyarfasova,GB,GB-104,104,506
olgagyarfasova,GB,GB-105,105,506
olgagyarfasova,GB,GB-106,106,506
olgagyarfasova,GB,GB-107,107,506
baccinil,GB,GB-001,1,000
baccinil,GB,GB-002,2,000
baccinil,GB,GB-003,3,000
baccinil,GB,GB-004,4,000
baccinil,GB,GB-005,5,000
baccinil,GB,GB-006,6,606
baccinil,GB,GB-007,7,000
baccinil,GB,GB-008,8,410
baccinil,GB,GB-009,9,701
baccinil,GB,GB-010,10,701
baccinil,GB,GB-011,11,701
baccinil,GB,GB-012,12,701
baccinil,GB,GB-013,13,606
baccinil,GB,GB-014,14,606
baccinil,GB,GB-015,15,606
baccinil,GB,GB-016,16,606
baccinil,GB,GB-017,17,606
baccinil,GB,GB-018,18,606
baccinil,GB,GB-019,19,606
baccinil,GB,GB-020,20,606
baccinil,GB,GB-021,21,606
baccinil,GB,GB-022,22,202
baccinil,GB,GB-023,23,408
baccinil,GB,GB-024,24,410
baccinil,GB,GB-025,25,410
baccinil,GB,GB-026,26,701
baccinil,GB,GB-027,27,701
baccinil,GB,GB-028,28,701
baccinil,GB,GB-029,29,410
baccinil,GB,GB-030,30,410
baccinil,GB,GB-031,31,606
baccinil,GB,GB-032,32,605
baccinil,GB,GB-033,33,410
baccinil,GB,GB-034,34,410
